,manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
613,2,1,6,8,1,77900,5,96,2,450,2,4,3,22,16,3105
1136,11,2,7,4,3,39650,3,134,3,240,4,1,3,31,24,870
1143,2,1,6,4,1,48700,7,120,3,265,2,4,1,31,22,3105
1483,10,2,7,4,3,17760,11,117,4,130,4,6,3,38,29,2009
156,10,4,7,4,4,18290,9,55,4,152,4,6,1,23,19,2009
1135,10,2,7,4,4,23020,9,55,3,152,4,6,1,23,17,2009
1530,3,4,6,6,4,39600,7,1,1,300,2,9,1,28,20,3916
1546,11,2,7,4,3,35950,12,123,3,240,4,9,3,37,25,870
264,11,2,7,4,3,33300,11,105,3,240,4,9,3,37,25,870
280,10,2,7,4,3,18710,2,126,5,109,4,7,1,39,31,2009
671,4,2,4,4,3,27795,11,5,5,184,4,5,3,36,23,1013
50,8,2,6,8,1,97400,11,100,3,449,4,9,2,26,16,617
526,10,2,7,4,4,23230,9,55,4,152,4,6,1,23,17,2009
1440,3,2,6,6,1,48000,3,129,3,300,4,1,3,27,19,3916
1068,8,2,1,4,1,39400,3,62,3,200,4,1,3,33,24,617
283,2,2,6,6,1,58800,3,93,5,333,4,1,2,25,19,3105
1809,8,2,6,12,4,169050,11,100,4,523,4,9,2,21,12,617
1323,10,2,7,6,3,36100,3,90,5,284,4,1,2,27,20,2009
1267,8,2,6,8,1,98400,3,69,3,518,4,1,3,17,13,617
482,7,2,7,4,3,30695,11,21,5,184,4,6,3,35,26,586
1557,3,2,6,4,1,50750,5,11,3,240,2,9,3,33,21,3916
504,4,2,4,6,3,40295,10,122,3,283,4,5,3,25,17,1013
290,3,2,6,4,1,34850,7,4,4,240,2,9,1,35,23,3916
721,7,4,7,4,3,24345,2,6,3,184,4,7,1,35,26,586
824,11,2,5,4,3,45750,3,136,5,250,4,1,2,26,22,870
1346,4,2,4,6,3,33695,10,122,3,283,4,5,3,25,17,1013
1434,2,2,1,6,1,48100,3,92,4,240,4,1,3,31,24,3105
53,3,2,6,8,4,69100,2,17,3,445,4,7,2,25,16,3916
677,3,2,6,4,1,52500,11,16,4,240,4,9,2,34,22,3916
1829,10,2,7,6,2,32580,9,55,5,261,4,6,1,21,15,2009
146,3,2,1,4,4,40250,11,7,5,180,4,2,3,42,32,3916
1286,10,2,7,6,1,34400,3,84,5,260,4,1,3,28,21,2009
686,3,1,6,8,4,113400,7,75,4,552,2,4,3,20,14,3916
324,11,2,7,4,3,34150,11,105,4,240,4,9,3,38,26,870
169,3,1,6,6,4,65800,5,138,3,335,2,9,1,24,17,3916
974,2,2,6,4,1,51900,3,92,3,245,4,1,3,30,24,3105
1501,5,4,5,4,3,20695,12,19,3,160,4,6,1,33,25,819
810,3,2,6,8,1,98800,3,131,5,567,4,1,3,19,14,3916
1574,3,2,6,8,1,94200,11,23,5,445,4,9,2,24,15,3916
1430,10,2,7,6,2,25440,3,137,2,261,4,6,3,20,15,2009
107,10,2,7,8,4,43600,3,38,3,317,4,6,2,19,13,2009
1710,6,1,6,8,4,257412,5,13,1,562,2,3,1,17,13,2774
1692,11,2,5,4,1,45950,3,136,4,250,4,1,2,25,22,870
634,8,2,6,8,1,98650,11,100,4,449,4,9,2,26,16,617
258,8,2,6,4,4,41675,11,40,5,241,4,9,3,34,24,617
977,2,2,6,4,3,38000,11,26,4,220,4,9,3,31,22,3105
474,3,2,6,4,1,35150,11,7,4,180,4,9,3,35,23,3916
48,3,2,6,8,4,90900,11,23,4,445,4,9,2,25,17,3916
90,3,2,6,6,4,53900,3,130,3,300,4,1,3,27,19,3916
1149,10,2,7,8,4,31940,9,121,3,317,4,5,2,18,13,2009
815,7,2,7,4,3,22270,10,15,2,157,4,6,1,28,22,586
1435,3,1,6,8,4,93600,11,74,3,560,4,4,2,20,14,3916
1389,2,1,6,8,1,124900,7,95,3,430,2,9,1,23,14,3105
638,3,2,1,4,1,42000,3,128,3,180,4,1,3,34,27,3916
959,3,2,6,8,4,88700,7,22,4,445,2,9,3,25,17,3916
701,7,4,7,4,3,23945,11,21,4,184,4,6,3,37,25,586
507,2,1,5,4,3,41100,11,26,5,252,4,9,3,33,25,3105
776,10,2,7,6,2,32080,9,55,4,261,4,6,1,21,15,2009
1237,10,2,7,6,2,35610,8,55,4,261,4,6,1,21,15,2009
463,2,2,6,8,1,114900,11,108,4,520,4,4,2,25,16,3105
1165,2,2,1,6,1,59900,3,93,3,240,4,1,2,28,19,3105
381,3,4,6,6,4,74200,5,72,4,425,2,4,3,26,17,3916
1724,3,2,6,4,4,32850,7,4,4,240,2,9,1,35,23,3916
1593,7,2,7,4,3,23795,11,6,3,155,4,6,1,41,30,586
493,7,2,7,4,3,24795,11,6,4,184,4,10,1,39,28,586
22,3,2,6,4,1,43000,2,8,4,240,4,7,3,34,22,3916
1729,3,2,5,4,1,44150,7,11,5,248,2,9,3,33,23,3916
1354,10,2,6,6,4,34870,7,10,5,332,2,8,1,26,19,2009
1318,4,2,7,6,1,40570,11,9,3,292,4,6,2,27,18,1013
1341,11,2,7,6,1,36900,12,135,3,240,4,1,3,25,18,870
449,11,2,7,5,1,47175,12,135,4,250,4,1,3,26,19,870
795,10,2,7,6,3,43180,10,94,3,260,4,6,1,27,20,2009
175,2,4,6,6,1,53100,7,103,5,333,2,4,3,26,17,3105
1696,2,1,5,4,3,37600,5,25,5,186,2,9,1,34,25,3105
37,10,4,6,6,4,45490,7,10,4,350,2,4,1,26,18,2009
1442,10,2,7,6,2,43250,3,90,3,260,4,1,2,26,19,2009
1012,8,2,6,8,1,107800,11,45,4,577,4,4,3,22,16,617
1513,3,2,5,4,1,40750,11,7,5,248,4,9,3,33,23,3916
201,8,2,1,4,1,38980,3,62,2,200,4,1,3,33,24,617
1058,3,2,6,4,4,40750,7,11,3,240,2,9,3,35,23,3916
127,7,2,7,4,1,29870,3,47,4,184,4,1,3,30,24,586
1039,9,2,7,3,3,14095,2,82,3,74,4,7,1,44,37,436
464,9,4,7,4,3,20595,11,66,3,168,4,6,1,31,22,436
954,7,2,7,4,3,27970,3,47,3,184,4,1,3,32,25,586
775,10,2,7,8,2,37810,8,121,5,390,4,6,2,21,15,2009
1409,4,2,4,6,3,29995,10,122,3,283,4,5,3,25,17,1013
339,10,2,7,6,3,32690,11,37,5,270,4,10,3,32,22,2009
981,10,2,7,6,1,34220,3,84,3,260,4,1,3,28,21,2009
837,2,1,5,4,3,37300,11,26,5,252,4,9,3,33,25,3105
1311,10,2,7,8,2,32210,9,121,2,317,4,5,2,17,12,2009
1544,8,3,2,0,3,39900,2,39,5,177,4,7,1,82,85,617
1268,9,2,7,4,1,26495,3,87,5,166,4,1,3,29,24,436
1554,10,2,7,6,2,35160,8,55,5,261,4,6,1,21,15,2009
212,10,2,7,4,3,22300,11,37,3,182,4,6,3,38,27,2009
486,2,2,5,4,1,50450,11,29,3,220,4,9,3,29,20,3105
1431,10,2,7,6,2,31470,3,90,3,260,4,1,2,26,19,2009
448,2,1,1,4,3,35150,11,25,3,150,4,2,1,43,31,3105
1740,8,2,6,4,4,47000,5,113,4,241,2,9,1,32,25,617
1037,7,4,7,4,3,16945,11,6,3,155,4,6,1,41,29,586
429,3,1,6,8,4,117500,11,76,5,560,4,4,2,20,14,3916
126,10,2,7,6,3,43230,10,94,4,260,4,6,1,27,20,2009
1541,3,2,6,6,4,55600,11,16,3,302,4,9,2,31,20,3916
427,10,2,6,6,4,39270,7,10,5,332,2,8,1,26,19,2009
1657,5,4,5,4,3,22495,1,18,3,160,2,7,1,34,28,819
372,10,2,7,4,3,40130,3,84,4,250,4,1,3,31,28,2009
505,10,2,7,4,1,24140,3,98,3,170,4,1,3,32,25,2009
500,10,2,7,8,4,32060,8,121,3,317,4,5,2,18,13,2009
385,7,2,7,4,3,30195,11,21,4,184,4,6,3,38,26,586
1591,9,4,7,4,3,17795,11,66,5,148,4,6,1,33,24,436
183,10,2,7,6,2,31370,3,137,2,261,4,6,3,20,15,2009
536,2,1,6,8,1,82500,11,107,3,420,4,4,2,27,17,3105
420,2,1,1,4,3,36700,11,25,4,150,4,2,1,43,31,3105
1488,10,2,7,4,4,20960,9,55,4,152,4,6,1,23,17,2009
361,3,2,6,6,1,49950,11,12,4,300,4,9,3,30,20,3916
1297,7,2,7,4,3,25245,11,21,5,184,4,6,3,35,26,586
1027,10,2,7,6,2,34840,3,90,4,260,4,1,2,26,19,2009
889,2,4,6,8,1,114900,7,95,2,430,2,9,1,20,11,3105
1418,10,2,7,6,2,34670,3,90,5,284,4,1,2,26,19,2009
905,2,2,1,6,1,52900,3,93,2,240,4,1,2,28,19,3105
653,8,2,6,6,4,53100,11,52,4,302,4,9,3,29,20,617
1343,4,2,7,6,4,31695,11,9,3,292,4,6,2,31,19,1013
1745,5,4,5,4,3,19495,12,19,4,160,4,6,1,33,25,819
1825,3,2,6,6,1,63200,2,17,4,300,4,7,2,26,18,3916
1520,5,4,5,4,4,27495,5,2,5,160,2,10,1,35,26,819
1504,4,2,4,6,1,30825,11,5,3,295,4,5,3,29,18,1013
969,10,2,7,6,3,41560,3,90,3,260,4,1,2,27,20,2009
1701,2,2,6,6,1,46000,3,92,4,272,4,1,3,26,18,3105
1800,2,2,6,6,1,45400,3,92,3,272,4,1,3,26,18,3105
1026,3,2,6,6,4,55500,3,130,5,300,4,1,3,25,18,3916
70,8,2,1,4,1,54300,11,52,3,195,4,2,3,38,27,617
761,2,4,6,4,1,37000,11,26,4,220,4,9,3,32,22,3105
1689,10,4,7,6,2,28910,8,55,4,261,4,6,1,21,16,2009
1500,10,2,7,8,2,52780,3,38,3,317,4,6,2,18,12,2009
612,2,2,6,6,1,54800,3,93,5,333,4,1,2,25,19,3105
410,10,2,7,4,3,22560,11,37,3,182,4,6,3,38,27,2009
1061,2,1,5,4,1,48000,11,26,5,252,4,9,3,31,24,3105
145,3,4,6,6,4,64000,11,71,5,425,4,4,3,26,17,3916
1085,2,2,3,4,1,40900,3,92,5,220,4,1,3,27,20,3105
294,8,2,6,6,4,86950,5,111,5,362,2,9,1,28,20,617
1652,3,1,6,8,4,120000,5,75,5,560,2,4,3,22,15,3916
1505,3,2,1,6,1,59300,3,130,5,255,4,1,3,30,23,3916
639,5,4,5,4,3,17900,1,18,4,101,2,7,1,40,31,819
1065,3,2,6,6,4,61900,11,35,3,335,4,9,2,30,23,3916
247,2,1,6,6,1,50200,11,102,4,333,4,4,3,28,18,3105
567,10,2,7,6,3,29970,10,94,2,260,4,6,1,25,19,2009
1763,11,2,7,4,3,41450,3,134,3,302,4,1,3,30,22,870
1121,10,2,7,8,2,43810,3,38,3,317,4,6,2,18,12,2009
152,10,1,5,6,1,101770,7,64,3,545,2,8,3,23,16,2009
430,10,4,7,6,2,26670,3,137,3,261,4,6,3,20,15,2009
1077,4,2,4,6,3,37345,10,122,4,283,4,5,3,25,17,1013
1584,11,2,7,4,3,36800,11,105,5,240,4,9,3,36,25,870
243,10,2,7,4,3,21330,4,86,5,131,4,6,1,26,24,2009
1189,2,1,6,4,1,48400,11,101,5,292,4,4,1,28,21,3105
15,11,2,7,4,3,43300,11,105,4,302,4,9,3,33,23,870
1103,3,2,6,4,1,40650,5,4,4,240,2,9,1,34,22,3916
1151,8,2,6,6,4,63100,11,52,4,329,4,9,3,29,20,617
739,10,2,7,4,3,13540,11,125,4,109,4,6,1,35,26,2009
919,10,4,7,6,4,25860,8,55,3,261,4,6,1,22,16,2009
1449,9,2,7,4,3,22995,3,87,4,166,4,1,3,31,25,436
1687,10,2,6,6,4,34870,7,10,3,332,2,8,1,26,19,2009
1790,10,2,5,4,3,20250,2,65,5,188,4,1,1,32,28,2009
511,10,2,7,8,4,46380,8,121,5,390,4,6,2,21,15,2009
589,9,2,7,4,1,20295,11,66,5,168,4,6,1,30,23,436
1131,8,2,6,6,1,52000,11,40,5,362,4,4,3,29,21,617
1817,3,2,6,6,4,48150,7,11,4,300,2,9,3,31,20,3916
1597,10,2,7,6,3,29830,3,90,4,260,4,1,2,27,20,2009
