manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,rear wheel drive,48300,4dr SUV,M-Class,2015,302,4,Crossover,Midsize,24,18,617
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,85100,Convertible,6 Series,2017,315,2,Luxury,Midsize,29,20,3916
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,40950,Wagon,XC70,2014,300,4,Crossover,Midsize,24,17,870
Chrysler,AUTOMATIC,regular unleaded,6,front wheel drive,42495,Passenger Minivan,Pacifica,2017,287,4,Performance,Midsize,28,18,1013
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,39270,Coupe,370Z,2017,332,2,High-Performance,Compact,26,19,2009
Nissan,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,25240,4dr Hatchback,Juke,2017,188,4,Crossover,Compact,32,28,2009
BMW,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,117500,Sedan,M6 Gran Coupe,2017,560,4,Factory Tuner,Large,20,14,3916
Nissan,MANUAL,regular unleaded,6,four wheel drive,26670,4dr SUV,Xterra,2015,261,4,Generic,Midsize,20,15,2009
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,46500,4dr SUV,Armada,2015,317,4,Generic,Large,18,12,2009
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,29990,Coupe,370Z,2015,332,2,High-Performance,Compact,26,18,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,21795,4dr SUV,CX-5,2016,155,4,Crossover,Midsize,35,26,586
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,122500,Sedan,ALPINA B6 Gran Coupe,2017,600,4,Factory Tuner,Large,24,15,3916
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,87800,Convertible,6 Series,2016,315,2,Luxury,Midsize,29,20,3916
Mitsubishi,AUTOMATIC,regular unleaded,3,front wheel drive,16995,Sedan,Mirage G4,2017,78,4,Generic,Compact,42,35,436
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,four wheel drive,115400,4dr SUV,G-Class,2015,382,4,Luxury,Midsize,15,12,617
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,17780,Sedan,Sentra,2015,130,4,Generic,Midsize,40,30,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,rear wheel drive,65990,Sedan,CLS-Class,2015,329,4,Luxury,Midsize,30,20,617
BMW,MANUAL,premium unleaded (required),4,rear wheel drive,41850,Coupe,4 Series,2016,240,2,Luxury,Midsize,34,22,3916
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,36210,4dr SUV,Pathfinder,2015,260,4,Crossover,Large,27,20,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,18795,Sedan,Lancer,2017,148,4,Generic,Compact,34,27,436
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,60900,4dr Hatchback,5 Series Gran Turismo,2017,300,4,Hatchback,Large,27,19,3916
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,20400,2dr Hatchback,500,2015,101,2,Hatchback,Compact,40,31,819
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,23195,4dr SUV,Outlander,2015,166,4,Crossover,Midsize,31,25,436
Audi,AUTOMATIC,diesel,6,all wheel drive,85200,Sedan,A8,2016,240,4,Diesel,Large,36,24,3105
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,48375,Sedan,S80,2016,240,4,Luxury,Midsize,37,25,870
Audi,AUTOMATED_MANUAL,diesel,4,front wheel drive,35150,Sedan,A3,2015,150,4,Diesel,Compact,43,31,3105
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,47175,Wagon,XC70,2016,250,4,Crossover,Midsize,26,19,870
Audi,MANUAL,premium unleaded (required),4,all wheel drive,38500,Sedan,A4,2015,220,4,Luxury,Midsize,32,22,3105
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,39600,Convertible,A3,2016,220,2,Luxury,Compact,32,23,3105
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,48300,4dr SUV,Q7,2015,280,4,Crossover,Large,22,16,3105
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,16890,Sedan,Versa,2015,109,4,Generic,Compact,40,31,2009
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,45500,4dr SUV,X3,2015,300,4,Crossover,Midsize,26,19,3916
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),4,front wheel drive,31500,Sedan,CLA-Class,2015,208,4,Luxury,Midsize,38,26,617
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,20995,4dr SUV,Outlander Sport,2017,148,4,Crossover,Compact,30,24,436
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,39400,Sedan,A4,2017,252,4,Luxury,Midsize,31,24,3105
FIAT,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,23695,Wagon,500L,2017,160,4,Generic,Compact,30,22,819
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,28650,Convertible,MX-5 Miata,2014,158,2,Performance,Compact,28,21,586
Audi,AUTOMATIC,premium unleaded (required),12,all wheel drive,137900,Sedan,A8,2016,500,4,Luxury,Large,22,14,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,rear wheel drive,52300,Sedan,E-Class,2015,302,4,Luxury,Midsize,29,20,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,47950,Convertible,SLC-Class,2017,241,2,Luxury,Compact,32,25,617
Audi,AUTOMATIC,premium unleaded (required),8,all wheel drive,114900,Sedan,S8,2016,520,4,Factory Tuner,Large,25,16,3105
Mitsubishi,MANUAL,regular unleaded,4,front wheel drive,20595,Sedan,Lancer,2015,168,4,Generic,Compact,31,22,436
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,25670,4dr SUV,Xterra,2015,261,4,Generic,Midsize,22,16,2009
Nissan,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,22300,4dr Hatchback,Juke,2015,188,4,Crossover,Compact,32,28,2009
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,34780,Crew Cab Pickup,Titan,2017,390,4,Generic,Large,21,15,2009
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,28570,Sedan,Altima,2016,182,4,Generic,Midsize,39,27,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),12,rear wheel drive,166900,Sedan,S-Class,2015,523,4,Luxury,Large,21,12,617
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,92000,Coupe,6 Series,2017,445,2,Luxury,Midsize,24,16,3916
Mercedes-Benz,AUTOMATIC,premium unleaded (required),12,rear wheel drive,226900,Sedan,S-Class,2017,621,4,Factory Tuner,Large,22,13,617
Mazda,MANUAL,regular unleaded,4,front wheel drive,18545,4dr Hatchback,3,2016,155,4,Hatchback,Compact,40,29,586
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,52100,Sedan,A6,2016,252,4,Luxury,Midsize,32,22,3105
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,35150,Sedan,3 Series,2016,180,4,Luxury,Midsize,35,23,3916
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,24990,4dr SUV,CX-3,2016,146,4,Crossover,Compact,35,29,586
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,43050,Wagon,XC70,2016,250,4,Crossover,Midsize,26,19,870
BMW,MANUAL,premium unleaded (required),6,rear wheel drive,37200,Convertible,1 Series,2013,230,2,Luxury,Compact,27,18,3916
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,29780,4dr SUV,Pathfinder,2015,260,4,Crossover,Large,27,20,2009
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,39450,Sedan,S60,2016,302,4,Luxury,Midsize,33,23,870
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,40350,Coupe,TT,2015,211,2,Luxury,Compact,31,22,3105
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,79800,Sedan,6 Series Gran Coupe,2017,315,4,Luxury,Large,29,20,3916
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,30695,Sedan,6,2017,184,4,Generic,Midsize,35,26,586
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,25995,4dr SUV,Outlander,2016,166,4,Crossover,Midsize,29,24,436
BMW,MANUAL,premium unleaded (required),6,rear wheel drive,48250,Convertible,1 Series,2013,320,2,Luxury,Compact,25,18,3916
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,60800,4dr SUV,SQ5,2016,354,4,Crossover,Midsize,24,17,3105
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,50450,Sedan,A6,2015,220,4,Luxury,Midsize,29,20,3105
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,25495,4dr SUV,Outlander,2017,166,4,Crossover,Midsize,30,25,436
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,86600,Convertible,6 Series,2015,315,2,Luxury,Midsize,29,20,3916
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,43300,4dr SUV,Pathfinder,2016,260,4,Crossover,Large,26,19,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,23495,4dr SUV,Outlander,2017,166,4,Crossover,Midsize,30,25,436
Audi,AUTOMATED_MANUAL,diesel,4,front wheel drive,41050,Sedan,A3,2015,150,4,Diesel,Compact,43,31,3105
Volvo,AUTOMATIC,regular unleaded,4,all wheel drive,46050,Wagon,V60,2016,302,4,Luxury,Midsize,31,22,870
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,24795,Sedan,3,2016,184,4,Performance,Compact,39,28,586
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,21795,4dr Hatchback,3,2016,155,4,Hatchback,Compact,40,30,586
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,20720,Sedan,Sentra,2015,130,4,Generic,Midsize,39,30,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,26195,4dr SUV,Outlander,2015,166,4,Crossover,Midsize,29,24,436
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,53500,4dr SUV,Q5,2016,272,4,Crossover,Midsize,26,18,3105
Audi,AUTOMATED_MANUAL,premium unleaded (required),6,all wheel drive,55700,Sedan,S4,2015,333,4,Factory Tuner,Midsize,28,18,3105
Audi,AUTOMATIC,diesel,6,all wheel drive,65400,4dr SUV,Q7,2015,240,4,Crossover,Large,28,19,3105
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,32060,Crew Cab Pickup,Titan,2015,317,4,Flex Fuel,Large,18,13,2009
BMW,AUTOMATIC,premium unleaded (required),8,rear wheel drive,96200,Convertible,6 Series,2016,445,2,Luxury,Midsize,25,17,3916
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,34640,Extended Cab Pickup,Titan,2014,317,4,Flex Fuel,Large,17,12,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,144700,Sedan,S-Class,2017,577,4,Factory Tuner,Large,23,15,617
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,40295,Passenger Minivan,Town and Country,2015,283,4,Flex Fuel,Midsize,25,17,1013
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,24140,4dr SUV,Rogue,2015,170,4,Crossover,Midsize,32,25,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,61400,Sedan,ActiveHybrid 5,2014,335,4,Luxury,Large,30,23,3916
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,41100,Sedan,A4,2017,252,4,Luxury,Midsize,33,25,3105
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,75500,Sedan,S6,2015,420,4,Factory Tuner,Midsize,27,17,3105
Audi,AUTOMATED_MANUAL,premium unleaded (required),6,all wheel drive,61100,Convertible,S5,2017,333,2,Factory Tuner,Midsize,26,18,3105
Nissan,MANUAL,regular unleaded,6,four wheel drive,25850,4dr SUV,Xterra,2013,261,4,Generic,Midsize,20,16,2009
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,46380,Crew Cab Pickup,Titan,2017,390,4,Generic,Large,21,15,2009
Mitsubishi,MANUAL,regular unleaded,4,front wheel drive,22495,Sedan,Lancer,2016,168,4,Generic,Compact,31,22,436
Audi,AUTOMATED_MANUAL,premium unleaded (required),6,all wheel drive,54100,Coupe,S5,2017,333,2,Factory Tuner,Midsize,28,18,3105
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,43290,Coupe,370Z,2016,350,2,Factory Tuner,Compact,26,19,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,151350,Convertible,SL-Class,2017,577,2,Factory Tuner,Compact,25,16,617
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,27650,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,21,15,2009
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,33950,Sedan,S60,2015,240,4,Luxury,Midsize,37,25,870
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,137000,Sedan,ALPINA B7,2017,600,4,Factory Tuner,Large,24,16,3916
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,19000,Wagon,Cube,2014,122,4,Generic,Compact,31,27,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,21295,4dr SUV,Outlander Sport,2016,168,4,Crossover,Compact,28,23,436
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,59900,Wagon,E-Class,2016,302,4,Luxury,Midsize,27,20,617
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,21500,4dr SUV,Rogue Select,2014,170,4,Crossover,Midsize,27,22,2009
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,22370,Passenger Minivan,5,2015,157,4,Generic,Compact,28,21,586
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,22095,Sedan,Lancer,2017,168,4,Generic,Compact,30,23,436
BMW,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,35450,Sedan,3 Series,2017,180,4,Luxury,Midsize,34,23,3916
Nissan,AUTOMATIC,regular unleaded,4,rear wheel drive,23230,Extended Cab Pickup,Frontier,2016,152,4,Generic,Compact,23,17,2009
BMW,MANUAL,premium unleaded (required),6,rear wheel drive,43550,Coupe,1 Series,2013,320,2,Luxury,Compact,28,20,3916
Audi,MANUAL,premium unleaded (required),6,all wheel drive,48100,Sedan,S4,2014,333,4,Factory Tuner,Midsize,26,17,3105
Chrysler,AUTOMATIC,regular unleaded,6,front wheel drive,28595,Passenger Minivan,Pacifica,2017,287,4,Generic,Midsize,28,18,1013
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,25510,Crew Cab Pickup,Frontier,2015,261,4,Generic,Compact,22,16,2009
Volvo,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,51250,4dr SUV,XC90,2016,250,4,Crossover,Large,26,22,870
BMW,AUTOMATED_MANUAL,premium unleaded (required),6,rear wheel drive,56950,Convertible,Z4,2015,300,2,Luxury,Compact,24,17,3916
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,27505,Convertible,MX-5 Miata,2014,158,2,Performance,Compact,28,21,586
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,25240,4dr SUV,Rogue,2017,170,4,Crossover,Midsize,33,26,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,25045,Sedan,3,2015,184,4,Performance,Compact,37,25,586
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,82500,Sedan,S7,2015,420,4,Factory Tuner,Large,27,17,3105
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,50750,Convertible,2 Series,2016,320,2,Factory Tuner,Compact,30,20,3916
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,53300,4dr SUV,SQ5,2016,354,4,Crossover,Midsize,24,17,3105
FIAT,AUTOMATIC,regular unleaded,4,all wheel drive,27035,4dr SUV,500X,2017,180,4,Crossover,Compact,29,21,819
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,24895,Sedan,3,2015,184,4,Performance,Compact,39,28,586
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,42180,4dr SUV,Murano,2016,250,4,Crossover,Midsize,31,28,2009
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,30490,4dr SUV,Xterra,2013,261,4,Generic,Midsize,20,15,2009
BMW,AUTOMATIC,premium unleaded (recommended),6,all wheel drive,50500,Coupe,4 Series,2017,320,2,Luxury,Midsize,31,21,3916
Volvo,AUTOMATIC,regular unleaded,6,front wheel drive,42700,4dr SUV,XC90,2014,240,4,Crossover,Midsize,25,16,870
Nissan,MANUAL,regular unleaded,4,front wheel drive,16760,Wagon,Cube,2013,122,4,Generic,Compact,30,25,2009
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,40800,Sedan,S60,2017,240,4,Luxury,Midsize,36,25,870
FIAT,AUTOMATIC,regular unleaded,4,front wheel drive,25135,4dr SUV,500X,2016,180,4,Crossover,Compact,31,22,819
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,41820,Convertible,370Z,2015,332,2,High-Performance,Compact,25,18,2009
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,34340,Crew Cab Pickup,Frontier,2016,261,4,Generic,Compact,21,15,2009
Audi,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,34500,4dr SUV,Q3,2017,200,4,Crossover,Compact,28,20,3105
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,32890,Crew Cab Pickup,Frontier,2016,261,4,Generic,Compact,21,15,2009
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,41850,4dr Hatchback,3 Series Gran Turismo,2015,240,4,Hatchback,Midsize,33,22,3916
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,41850,4dr Hatchback,3 Series Gran Turismo,2015,240,4,Hatchback,Midsize,33,22,3916
Volvo,AUTOMATIC,regular unleaded,4,all wheel drive,47750,4dr SUV,XC60,2016,302,4,Crossover,Midsize,28,20,870
FIAT,AUTOMATIC,regular unleaded,4,all wheel drive,29235,4dr SUV,500X,2016,180,4,Crossover,Compact,30,21,819
Volvo,AUTOMATIC,regular unleaded,6,front wheel drive,39900,Sedan,S80,2014,240,4,Luxury,Midsize,29,20,870
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,27390,Sedan,Altima,2016,270,4,Performance,Midsize,32,22,2009
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),4,front wheel drive,32500,4dr SUV,GLA-Class,2016,208,4,Crossover,Compact,35,25,617
Volvo,MANUAL,regular unleaded,5,front wheel drive,25500,2dr Hatchback,C30,2013,227,2,Hatchback,Compact,29,21,870
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,137500,Convertible,R8,2014,430,2,Luxury,Compact,23,14,3105
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,35800,4dr SUV,Q3,2016,200,4,Crossover,Compact,28,20,3105
Mitsubishi,MANUAL,premium unleaded (required),4,all wheel drive,34995,Sedan,Lancer Evolution,2014,291,4,Factory Tuner,Compact,23,17,436
Mercedes-Benz,AUTOMATIC,diesel,4,all wheel drive,55150,Sedan,E-Class,2016,195,4,Diesel,Midsize,38,27,617
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,35845,Passenger Minivan,Town and Country,2016,283,4,Flex Fuel,Midsize,25,17,1013
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,33950,Sedan,S60,2017,240,4,Luxury,Midsize,36,25,870
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,39180,4dr SUV,Murano,2016,260,4,Crossover,Midsize,28,21,2009
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,29970,Passenger Minivan,Quest,2014,260,4,Generic,Compact,25,19,2009
Volvo,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,55600,4dr SUV,XC90,2017,316,4,Crossover,Large,25,20,870
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,27320,Extended Cab Pickup,Frontier,2017,261,4,Generic,Compact,21,15,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,20745,4dr Hatchback,3,2016,155,4,Hatchback,Compact,40,29,586
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,53200,4dr SUV,Q5,2017,272,4,Crossover,Midsize,26,18,3105
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,33570,Coupe,370Z,2015,332,2,High-Performance,Compact,26,18,2009
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,36410,4dr SUV,Pathfinder,2016,260,4,Crossover,Large,27,20,2009
Audi,AUTOMATIC,diesel,6,all wheel drive,57700,4dr SUV,Q5,2016,240,4,Crossover,Midsize,31,24,3105
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,26395,Convertible,MX-5 Miata,2016,155,2,Performance,Compact,36,27,586
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,34060,Passenger Minivan,Quest,2015,260,4,Generic,Compact,27,20,2009
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,135200,Sedan,ALPINA B7,2014,540,4,Factory Tuner,Large,24,16,3916
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,46400,Convertible,TT,2016,220,2,Luxury,Compact,30,23,3105
Mitsubishi,MANUAL,regular unleaded,4,front wheel drive,17595,Sedan,Lancer,2016,148,4,Generic,Compact,34,24,436
BMW,MANUAL,premium unleaded (required),6,rear wheel drive,65700,Coupe,M4,2016,425,2,Factory Tuner,Midsize,26,17,3916
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,24195,4dr SUV,Outlander,2015,166,4,Crossover,Midsize,31,25,436
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,56700,Coupe,E-Class,2016,329,2,Luxury,Midsize,28,20,617
Nissan,AUTOMATIC,premium unleaded (required),4,all wheel drive,30020,4dr Hatchback,Juke,2016,215,4,Crossover,Compact,29,25,2009
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,26470,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,23,16,2009
Mazda,AUTOMATIC,regular unleaded,6,all wheel drive,31575,4dr SUV,CX-9,2015,273,4,Crossover,Large,22,16,586
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,25680,Crew Cab Pickup,Frontier,2016,261,4,Generic,Compact,22,16,2009
Nissan,AUTOMATIC,premium unleaded (recommended),6,all wheel drive,44540,Convertible SUV,Murano CrossCabriolet,2013,265,2,Crossover,Midsize,22,17,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,84800,Convertible,6 Series,2016,315,2,Luxury,Midsize,31,20,3916
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,20295,Sedan,Lancer,2017,168,4,Generic,Compact,30,23,436
Audi,MANUAL,premium unleaded (required),8,all wheel drive,115900,Coupe,R8,2015,430,2,Luxury,Compact,20,11,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,four wheel drive,137100,4dr SUV,G-Class,2015,536,4,Factory Tuner,Midsize,14,12,617
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,24620,Extended Cab Pickup,Frontier,2017,261,4,Generic,Compact,23,16,2009
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,49400,Convertible,370Z,2016,332,2,High-Performance,Compact,25,18,2009
Audi,AUTOMATIC,premium unleaded (required),4,all wheel drive,43800,Coupe,A5,2016,220,2,Luxury,Midsize,31,22,3105
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,41730,4dr SUV,Murano,2016,250,4,Crossover,Midsize,30,26,2009
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,34910,Crew Cab Pickup,Titan,2015,317,4,Flex Fuel,Large,17,12,2009
Nissan,AUTOMATIC,premium unleaded (recommended),6,front wheel drive,36990,Sedan,Maxima,2016,300,4,High-Performance,Midsize,30,22,2009
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,26590,4dr SUV,Rogue,2017,170,4,Crossover,Midsize,32,25,2009
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,29220,4dr SUV,CX-5,2015,184,4,Crossover,Midsize,30,24,586
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,35970,4dr SUV,CX-9,2016,227,4,Crossover,Large,28,22,586
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,46550,Convertible,A3,2017,186,2,Luxury,Compact,34,25,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,rear wheel drive,56225,Convertible,SLK-Class,2014,302,2,Luxury,Compact,29,21,617
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,29900,Sedan,A3,2015,170,4,Luxury,Compact,33,23,3105
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,36600,4dr SUV,Q3,2017,200,4,Crossover,Compact,28,20,3105
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,48250,Coupe,4 Series,2015,300,2,Luxury,Midsize,30,20,3916
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,99950,4dr SUV,GLE-Class,2016,550,4,Crossover,Midsize,17,13,617
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,28220,4dr SUV,CX-5,2016,184,4,Crossover,Midsize,33,26,586
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,28150,Sedan,Altima,2015,182,4,Generic,Midsize,38,27,2009
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,36410,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,21,15,2009
Chrysler,AUTOMATIC,regular unleaded,6,rear wheel drive,36090,Sedan,300,2016,300,4,Performance,Large,31,19,1013
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,55850,Sedan,5 Series,2016,302,4,Luxury,Large,31,20,3916
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,54800,4dr SUV,Q7,2017,333,4,Crossover,Large,25,19,3105
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,77900,Convertible,RS 5,2014,450,2,Factory Tuner,Midsize,22,16,3105
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,40950,4dr SUV,XC60,2017,240,4,Crossover,Midsize,30,23,870
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,45100,Sedan,S80,2015,300,4,Luxury,Midsize,28,19,870
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,124100,4dr SUV,GLS-Class,2017,577,4,Crossover,Large,17,13,617
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,21760,Cargo Minivan,NV200,2016,131,4,Generic,Compact,26,24,2009
Chrysler,AUTOMATIC,regular unleaded,6,rear wheel drive,32340,Sedan,300,2017,292,4,Generic,Large,30,19,1013
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,26240,4dr SUV,CX-3,2017,146,4,Crossover,Compact,32,27,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,108050,Convertible,SL-Class,2016,449,2,Luxury,Compact,24,17,617
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,24670,Passenger Minivan,5,2014,157,4,Generic,Compact,28,22,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),4,front wheel drive,27570,Sedan,200,2016,184,4,Flex Fuel,Midsize,36,23,1013
