manufacturer,fuel_type,transmission,cylinders,wheels,MSRP,size,style,horsepower,highwaympg,citympg,doors,year,doors2,market_category,popularity
Subaru,regular unleaded,MANUAL,4,all wheel drive,22195,Midsize,4dr SUV,170,29,22,4,2015,4,Crossover,640
Subaru,regular unleaded,AUTOMATIC,4,all wheel drive,27145,Midsize,Sedan,175,36,26,4,2016,4,Generic,640
Chevrolet,regular unleaded,AUTOMATIC,8,four wheel drive,27250,Large,Extended Cab Pickup,285,18,14,4,2007,4,Flex-Fuel,1385
Chevrolet,regular unleaded,AUTOMATIC,6,four wheel drive,28130,Large,4dr SUV,291,19,14,4,2006,4,Generic,1385
Volkswagen,premium unleaded (recommended),AUTOMATED_MANUAL,4,front wheel drive,25045,Midsize,Sedan,200,32,24,4,2013,4,Performance,873
Volkswagen,premium unleaded (recommended),AUTOMATIC,6,all wheel drive,51450,Midsize,4dr SUV,280,23,17,4,2016,4,Crossover,873
Chevrolet,regular unleaded,AUTOMATIC,6,four wheel drive,33195,Compact,Crew Cab Pickup,305,24,17,4,2016,4,Diesel,1385
Volkswagen,premium unleaded (recommended),MANUAL,4,front wheel drive,27295,Compact,4dr Hatchback,200,31,21,4,2013,4,"Hatchback,Performance",873
GMC,flex-fuel (unleaded/E85),AUTOMATIC,6,rear wheel drive,30695,Large,Extended Cab Pickup,285,24,18,4,2015,4,Flex-Fuel,549
Chevrolet,regular unleaded,MANUAL,6,rear wheel drive,2713,Large,Extended Cab Pickup,200,20,15,2,1997,2,Generic,1385
Ford,premium unleaded (recommended),MANUAL,8,rear wheel drive,54295,Midsize,Coupe,526,21,14,2,2017,2,Factory Tuner,5657
Nissan,regular unleaded,AUTOMATIC,4,front wheel drive,13680,Compact,Sedan,109,35,26,4,2017,4,Generic,2009
Infiniti,premium unleaded (required),AUTOMATIC,8,all wheel drive,59000,Midsize,4dr SUV,390,20,14,4,2010,4,Crossover,190
Volkswagen,premium unleaded (recommended),AUTOMATIC,6,all wheel drive,51450,Midsize,4dr SUV,280,23,17,4,2016,4,Crossover,873
Cadillac,regular unleaded,AUTOMATIC,8,rear wheel drive,80655,Compact,Convertible,320,24,15,2,2007,2,Luxury,1624
Toyota,regular unleaded,MANUAL,4,front wheel drive,10775,Compact,Sedan,108,38,30,4,2003,4,Generic,2031
Toyota,regular unleaded,AUTOMATIC,4,front wheel drive,20360,Compact,4dr Hatchback,99,46,53,4,2016,4,"Hatchback,Hybrid",2031
Infiniti,premium unleaded (required),AUTOMATIC,8,rear wheel drive,59200,Large,Sedan,420,24,16,4,2012,4,"Luxury,Performance",190
Nissan,regular unleaded,MANUAL,6,rear wheel drive,2553,Compact,Coupe,222,22,16,2,1994,2,Performance,2009
Ford,regular unleaded,MANUAL,6,rear wheel drive,2000,Compact,2dr SUV,140,20,16,2,1990,2,Generic,5657
Chevrolet,flex-fuel (unleaded/E85),AUTOMATIC,8,four wheel drive,50215,Large,4dr SUV,355,22,16,4,2017,4,Flex-Fuel,1385
Mazda,premium unleaded (recommended),MANUAL,4,rear wheel drive,26905,Compact,Convertible,167,28,21,2,2014,2,Performance,586
Chevrolet,regular unleaded,AUTOMATIC,6,front wheel drive,22280,Midsize,Coupe,180,29,19,2,2005,2,Generic,1385
Ford,flex-fuel (unleaded/E85),AUTOMATIC,6,rear wheel drive,30090,Large,Extended Cab Pickup,282,25,18,4,2015,4,Flex-Fuel,5657
Cadillac,flex-fuel (unleaded/E85),AUTOMATIC,6,all wheel drive,46660,Compact,Sedan,321,26,18,4,2015,4,Flex-Fuel,1624
Volkswagen,regular unleaded,AUTOMATIC,5,front wheel drive,20990,Compact,2dr Hatchback,150,29,20,2,2008,2,Hatchback,873
Chevrolet,flex-fuel (unleaded/E85),AUTOMATIC,8,rear wheel drive,24515,Large,Extended Cab Pickup,295,19,14,4,2007,4,Flex-Fuel,1385
Chevrolet,regular unleaded,MANUAL,4,front wheel drive,15730,Compact,Sedan,140,30,22,4,2003,4,Generic,1385
Acura,premium unleaded (required),AUTOMATIC,6,all wheel drive,46020,Midsize,4dr Hatchback,300,23,16,4,2011,4,Crossover,204
Volvo,regular unleaded,AUTOMATIC,5,front wheel drive,2000,Midsize,Sedan,240,24,17,4,1997,4,Factory Tuner,870
Ford,regular unleaded,MANUAL,8,four wheel drive,3471,Large,Extended Cab Pickup,220,16,13,3,1998,3,Generic,5657
Kia,regular unleaded,AUTOMATIC,4,front wheel drive,17895,Compact,Wagon,162,26,19,4,2007,4,Generic,1720
Volvo,regular unleaded,AUTOMATIC,6,front wheel drive,39700,Midsize,4dr SUV,240,25,16,4,2014,4,Crossover,870
Mercedes-Benz,premium unleaded (required),AUTOMATIC,6,all wheel drive,65200,Large,4dr SUV,362,21,17,4,2015,4,Crossover,617
Kia,regular unleaded,AUTOMATIC,4,front wheel drive,20755,Compact,Sedan,138,37,27,4,2016,4,Generic,1720
BMW,premium unleaded (required),AUTOMATIC,6,all wheel drive,80600,Midsize,Coupe,315,28,19,2,2017,2,"Luxury,Performance",3916
Suzuki,regular unleaded,AUTOMATIC,6,four wheel drive,24499,Midsize,4dr SUV,185,20,15,4,2004,4,Generic,481
Mazda,regular unleaded,MANUAL,4,front wheel drive,24195,Midsize,Sedan,184,34,24,4,2017,4,Generic,586
GMC,flex-fuel (unleaded/E85),AUTOMATIC,4,rear wheel drive,16220,Compact,Regular Cab Pickup,120,23,17,2,2003,2,Flex-Fuel,549
Mazda,regular unleaded,AUTOMATIC,4,all wheel drive,23210,Compact,4dr SUV,146,32,27,4,2017,4,Crossover,586
Buick,premium unleaded (recommended),AUTOMATIC,8,front wheel drive,44460,Large,Sedan,292,23,15,4,2011,4,Performance,155
Toyota,regular unleaded,AUTOMATIC,6,all wheel drive,42880,Large,Passenger Minivan,266,23,16,4,2015,4,Generic,2031
Infiniti,premium unleaded (recommended),AUTOMATIC,6,rear wheel drive,43650,Midsize,Sedan,328,29,20,4,2015,4,"Luxury,High-Performance",190
Mazda,premium unleaded (required),MANUAL,,rear wheel drive,26645,Compact,Coupe,232,22,16,4,2010,4,Performance,586
Chevrolet,regular unleaded,AUTOMATIC,8,four wheel drive,43950,Large,Crew Cab Pickup,355,22,16,4,2017,4,Flex-Fuel,1385
Porsche,premium unleaded (required),AUTOMATED_MANUAL,6,all wheel drive,163000,Compact,Convertible,520,24,17,2,2016,2,"Luxury,High-Performance",1715
